survey_id,response_id,question_id,question_text,value_json,source_version
survey-demo,B0000,q_wait,Tempo de espera,24,2
survey-demo,B0001,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0001,q_wait,Tempo de espera,53,1
survey-demo,B0002,q_wait,Tempo de espera,50,1
survey-demo,B0003,q_wait,Tempo de espera,17,1
survey-demo,B0004,q_wait,Tempo de espera,63,1
survey-demo,B0006,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0006,q_wait,Tempo de espera,10,1
survey-demo,B0007,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0007,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0007,q_wait,Tempo de espera,27,1
survey-demo,B0008,q_wait,Tempo de espera,67,2
survey-demo,B0009,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0009,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0009,q_wait,Tempo de espera,58,1
survey-demo,B0010,q_wait,Tempo de espera,5,1
survey-demo,B0011,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0011,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0011,q_wait,Tempo de espera,1,1
survey-demo,B0013,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0013,q_wait,Tempo de espera,28,1
survey-demo,B0014,q_wait,Tempo de espera,0,1
survey-demo,B0015,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0015,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0015,q_wait,Tempo de espera,19,1
survey-demo,B0016,q_wait,Tempo de espera,90,2
survey-demo,B0023,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0023,q_wait,Tempo de espera,5,1
survey-demo,B0024,q_wait,Tempo de espera,64,2
survey-demo,B0025,q_wait,Tempo de espera,66,1
survey-demo,B0027,q_wait,Tempo de espera,48,1
survey-demo,B0028,q_wait,Tempo de espera,64,1
survey-demo,B0029,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0029,q_wait,Tempo de espera,0,1
survey-demo,B0030,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0030,q_wait,Tempo de espera,64,1
survey-demo,B0031,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0031,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0031,q_wait,Tempo de espera,85,1
survey-demo,B0032,q_wait,Tempo de espera,27,2
survey-demo,B0033,q_wait,Tempo de espera,62,1
survey-demo,B0034,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0034,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0034,q_wait,Tempo de espera,58,1
survey-demo,B0035,q_wait,Tempo de espera,34,1
survey-demo,B0036,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0036,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0036,q_wait,Tempo de espera,47,1
survey-demo,B0037,q_wait,Tempo de espera,2,1
survey-demo,B0038,q_wait,Tempo de espera,55,1
survey-demo,B0039,q_wait,Tempo de espera,71,1
survey-demo,B0040,q_wait,Tempo de espera,3,2
survey-demo,B0041,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0041,q_wait,Tempo de espera,19,1
survey-demo,B0042,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0042,q_wait,Tempo de espera,64,1
survey-demo,B0044,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0044,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0044,q_wait,Tempo de espera,58,1
survey-demo,B0045,q_wait,Tempo de espera,65,1
survey-demo,B0046,q_wait,Tempo de espera,68,1
survey-demo,B0047,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0047,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0047,q_wait,Tempo de espera,76,1
survey-demo,B0048,q_wait,Tempo de espera,72,2
survey-demo,B0049,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0049,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0049,q_wait,Tempo de espera,40,1
survey-demo,B0050,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0050,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0050,q_wait,Tempo de espera,48,1
survey-demo,B0051,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0051,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0051,q_wait,Tempo de espera,25,1
survey-demo,B0053,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0053,q_wait,Tempo de espera,69,1
survey-demo,B0054,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0054,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0054,q_wait,Tempo de espera,79,1
survey-demo,B0055,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0055,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0055,q_wait,Tempo de espera,22,1
survey-demo,B0056,q_wait,Tempo de espera,68,2
survey-demo,B0057,q_wait,Tempo de espera,67,1
survey-demo,B0058,q_wait,Tempo de espera,82,1
survey-demo,B0059,q_wait,Tempo de espera,12,1
survey-demo,B0060,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0060,q_wait,Tempo de espera,90,1
survey-demo,B0061,q_wait,Tempo de espera,51,1
survey-demo,B0062,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0062,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0062,q_wait,Tempo de espera,11,1
survey-demo,B0063,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0063,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0063,q_wait,Tempo de espera,10,1
survey-demo,B0064,q_wait,Tempo de espera,85,2
survey-demo,B0065,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0065,q_wait,Tempo de espera,11,1
survey-demo,B0067,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0067,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0067,q_wait,Tempo de espera,16,1
survey-demo,B0068,q_wait,Tempo de espera,26,1
survey-demo,B0069,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0069,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0069,q_wait,Tempo de espera,64,1
survey-demo,B0070,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0070,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0070,q_wait,Tempo de espera,21,1
survey-demo,B0071,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0071,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0071,q_wait,Tempo de espera,66,1
survey-demo,B0072,q_wait,Tempo de espera,12,2
survey-demo,B0073,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0073,q_wait,Tempo de espera,15,1
survey-demo,B0074,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0074,q_wait,Tempo de espera,0,1
survey-demo,B0075,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0075,q_wait,Tempo de espera,68,1
survey-demo,B0078,q_wait,Tempo de espera,12,1
survey-demo,B0079,q_wait,Tempo de espera,77,1
survey-demo,B0080,q_wait,Tempo de espera,4,2
survey-demo,B0081,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0081,q_wait,Tempo de espera,13,1
survey-demo,B0082,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0082,q_wait,Tempo de espera,36,1
survey-demo,B0083,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0083,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0083,q_wait,Tempo de espera,72,1
survey-demo,B0084,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0084,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0084,q_wait,Tempo de espera,25,1
survey-demo,B0085,q_wait,Tempo de espera,68,1
survey-demo,B0087,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0087,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0087,q_wait,Tempo de espera,27,1
survey-demo,B0088,q_wait,Tempo de espera,77,2
survey-demo,B0090,q_wait,Tempo de espera,84,1
survey-demo,B0095,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0095,q_wait,Tempo de espera,63,1
survey-demo,B0096,q_wait,Tempo de espera,22,2
survey-demo,B0097,q_wait,Tempo de espera,73,1
survey-demo,B0098,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0098,q_wait,Tempo de espera,88,1
survey-demo,B0099,q_wait,Tempo de espera,87,1
survey-demo,B0100,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0100,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0100,q_wait,Tempo de espera,85,1
survey-demo,B0101,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0101,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0101,q_wait,Tempo de espera,67,1
survey-demo,B0102,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0102,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0102,q_wait,Tempo de espera,16,1
survey-demo,B0103,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0103,q_wait,Tempo de espera,76,1
survey-demo,B0104,q_wait,Tempo de espera,15,2
survey-demo,B0105,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0105,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0105,q_wait,Tempo de espera,25,1
survey-demo,B0107,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0107,q_wait,Tempo de espera,18,1
survey-demo,B0108,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0108,q_wait,Tempo de espera,25,1
survey-demo,B0109,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0109,q_wait,Tempo de espera,21,1
survey-demo,B0110,q_channels,Canais utilizados,"[""App"",""Telefone""]",1
survey-demo,B0110,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0110,q_wait,Tempo de espera,47,1
survey-demo,B0112,q_wait,Tempo de espera,47,2
survey-demo,B0115,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0115,q_wait,Tempo de espera,32,1
survey-demo,B0117,q_resolution,Problema resolvido?,"""Não""",1
survey-demo,B0117,q_wait,Tempo de espera,10,1
survey-demo,B0118,q_resolution,Problema resolvido?,"""Sim""",1
survey-demo,B0118,q_wait,Tempo de espera,53,1
survey-demo,B0119,q_wait,Tempo de espera,16,1
survey-demo,B0120,q_wait,Tempo de espera,8,2
survey-demo,B0121,q_wait,Tempo de espera,0,1
