response_id,customer_id,journey_stage,responded_at,updated_at,event_version,nps_score,csat_score,category,comment
R000001,C000189,service,2025-01-01T08:00:00Z,2025-01-01T08:23:00Z,1,7,4,experience,The information could be clearer.
R000002,C000290,onboarding,2025-01-01T09:31:00Z,2025-01-01T10:20:00Z,1,10,5,access,Everything worked as expected.
R000003,C000131,onboarding,2025-01-01T11:02:00Z,2025-01-01T13:32:00Z,1,7,5,access,The waiting time affected the experience.
R000004,C002047,support,2025-01-01T12:33:00Z,2025-01-01T15:33:00Z,1,9,4,resolution,The information could be clearer.
R000005,C002377,support,2025-01-01T14:04:00Z,2025-01-01T16:24:00Z,1,6,5,communication,Everything worked as expected.
R000006,C000597,service,2025-01-01T15:35:00Z,2025-01-01T16:54:00Z,1,10,3,schedule,The response was quick.
R000007,C000718,service,2025-01-01T17:06:00Z,2025-01-01T18:17:00Z,1,9,3,experience,The response was quick.
R000008,C001450,support,2025-01-01T18:37:00Z,2025-01-01T20:45:00Z,1,7,3,communication,The waiting time affected the experience.
R000009,C000328,support,2025-01-01T20:08:00Z,2025-01-01T22:57:00Z,1,8,4,communication,The information could be clearer.
R000010,C001974,support,2025-01-01T21:39:00Z,2025-01-01T23:57:00Z,1,10,4,communication,I needed more than one contact.
R000011,C000024,support,2025-01-01T23:10:00Z,2025-01-01T23:58:00Z,1,7,3,communication,The response was quick.
R000012,C002343,support,2025-01-02T00:41:00Z,2025-01-02T02:02:00Z,1,7,1,communication,I needed more than one contact.
R000013,C001083,support,2025-01-02T02:12:00Z,2025-01-02T02:45:00Z,1,5,3,resolution,I needed more than one contact.
R000014,C000235,support,2025-01-02T03:43:00Z,2025-01-02T05:46:00Z,1,6,4,communication,The information could be clearer.
R000015,C001795,support,2025-01-02T05:14:00Z,2025-01-02T07:39:00Z,1,6,2,resolution,The waiting time affected the experience.
R000016,C001424,service,2025-01-02T06:45:00Z,2025-01-02T06:54:00Z,1,8,3,schedule,The response was quick.
R000017,C001395,service,2025-01-02T08:16:00Z,2025-01-16T08:33:00Z,2,5,1,experience,The response was quick.
R000018,C002194,service,2025-01-02T09:47:00Z,2025-01-02T10:35:00Z,1,7,3,experience,The response was quick.
R000019,C001836,service,2025-01-02T11:18:00Z,2025-01-02T12:55:00Z,1,10,4,experience,The information could be clearer.
R000020,C000049,service,2025-01-02T12:49:00Z,2025-01-02T14:42:00Z,1,7,5,schedule,The information could be clearer.
R000021,C000874,service,2025-01-02T14:20:00Z,2025-01-02T16:36:00Z,1,7,4,experience,Everything worked as expected.
R000022,C001064,onboarding,2025-01-02T15:51:00Z,2025-01-02T16:25:00Z,1,10,4,access,Everything worked as expected.
R000023,C002016,support,2025-01-02T17:22:00Z,2025-01-02T17:57:00Z,1,5,5,communication,The information could be clearer.
R000024,C001532,renewal,2025-01-02T18:53:00Z,2025-01-02T19:17:00Z,1,7,4,value,The information could be clearer.
R000025,C000641,onboarding,2025-01-02T20:24:00Z,2025-01-02T20:56:00Z,1,7,5,access,The response was quick.
R000026,C000257,service,2025-01-02T21:55:00Z,2025-01-02T22:40:00Z,1,10,5,schedule,The information could be clearer.
R000027,C002146,onboarding,2025-01-02T23:26:00Z,2025-01-03T00:12:00Z,1,7,5,access,Everything worked as expected.
R000028,C001855,service,2025-01-03T00:57:00Z,2025-01-03T03:31:00Z,1,8,4,experience,Everything worked as expected.
R000029,C001189,renewal,2025-01-03T02:28:00Z,2025-01-03T02:46:00Z,1,7,2,value,The waiting time affected the experience.
R000030,C000762,support,2025-01-03T03:59:00Z,2025-01-03T06:33:00Z,1,6,3,communication,The waiting time affected the experience.
R000031,C002133,support,2025-01-03T05:30:00Z,2025-01-03T07:37:00Z,1,6,3,resolution,Everything worked as expected.
R000032,C002112,onboarding,2025-01-03T07:01:00Z,2025-01-03T07:38:00Z,1,10,5,information,The waiting time affected the experience.
R000033,C000047,renewal,2025-01-03T08:32:00Z,2025-01-03T08:59:00Z,1,6,4,value,The response was quick.
R000034,C001753,support,2025-01-03T10:03:00Z,2025-01-17T10:37:00Z,2,7,2,communication,The response was quick.
R000035,C000524,renewal,2025-01-03T11:34:00Z,2025-01-03T12:58:00Z,1,7,4,value,The response was quick.
R000036,C000936,onboarding,2025-01-03T13:05:00Z,2025-01-03T14:09:00Z,1,7,5,information,The information could be clearer.
R000037,C001916,service,2025-01-03T14:36:00Z,2025-01-03T17:14:00Z,1,10,3,schedule,The response was quick.
R000038,C000226,renewal,2025-01-03T16:07:00Z,2025-01-03T17:47:00Z,1,7,5,value,The waiting time affected the experience.
R000039,C000588,service,2025-01-03T17:38:00Z,2025-01-03T19:30:00Z,1,9,3,experience,Everything worked as expected.
R000040,C001862,support,2025-01-03T19:09:00Z,2025-01-03T21:09:00Z,1,4,3,resolution,The waiting time affected the experience.
R000041,C002007,support,2025-01-03T20:40:00Z,2025-01-03T21:15:00Z,1,5,4,resolution,The response was quick.
R000042,C002318,support,2025-01-03T22:11:00Z,2025-01-03T23:18:00Z,1,5,4,resolution,I needed more than one contact.
R000043,C002083,support,2025-01-03T23:42:00Z,2025-01-03T23:47:00Z,1,7,5,communication,The response was quick.
R000044,C001798,renewal,2025-01-04T01:13:00Z,2025-01-04T03:48:00Z,1,5,4,value,The response was quick.
R000045,C000101,support,2025-01-04T02:44:00Z,2025-01-04T04:56:00Z,1,6,2,communication,The response was quick.
R000046,C001174,support,2025-01-04T04:15:00Z,2025-01-04T05:09:00Z,1,5,4,resolution,The response was quick.
R000047,C001705,service,2025-01-04T05:46:00Z,2025-01-04T07:38:00Z,1,5,4,experience,I needed more than one contact.
R000048,C002379,onboarding,2025-01-04T07:17:00Z,2025-01-04T07:58:00Z,1,8,4,information,The waiting time affected the experience.
R000049,C000106,support,2025-01-04T08:48:00Z,2025-01-04T09:08:00Z,1,8,4,resolution,The response was quick.
R000050,C002009,support,2025-01-04T10:19:00Z,2025-01-04T12:51:00Z,1,10,5,communication,The response was quick.
R000051,C002368,renewal,2025-01-04T11:50:00Z,2025-01-18T12:41:00Z,2,4,5,value,The response was quick.
R000052,C000211,onboarding,2025-01-04T13:21:00Z,2025-01-04T16:15:00Z,1,8,5,information,The waiting time affected the experience.
R000053,C000669,service,2025-01-04T14:52:00Z,2025-01-04T15:52:00Z,1,9,5,experience,I needed more than one contact.
R000054,C000714,onboarding,2025-01-04T16:23:00Z,2025-01-04T17:37:00Z,1,9,5,information,I needed more than one contact.
R000055,C001778,service,2025-01-04T17:54:00Z,2025-01-04T19:57:00Z,1,7,4,experience,The response was quick.
R000056,C000323,support,2025-01-04T19:25:00Z,2025-01-04T21:49:00Z,1,8,3,communication,The response was quick.
R000057,C000219,onboarding,2025-01-04T20:56:00Z,2025-01-04T21:02:00Z,1,9,3,information,I needed more than one contact.
R000058,C000909,service,2025-01-04T22:27:00Z,2025-01-05T00:25:00Z,1,10,4,schedule,I needed more than one contact.
R000059,C002327,onboarding,2025-01-04T23:58:00Z,2025-01-05T00:31:00Z,1,10,3,access,The information could be clearer.
R000060,C002176,service,2025-01-05T01:29:00Z,2025-01-05T01:35:00Z,1,4,4,schedule,The response was quick.
R000061,C002352,support,2025-01-05T03:00:00Z,2025-01-05T03:57:00Z,1,7,3,resolution,The waiting time affected the experience.
R000062,C000671,onboarding,2025-01-05T04:31:00Z,2025-01-05T06:46:00Z,1,7,3,access,The information could be clearer.
R000063,C000367,onboarding,2025-01-05T06:02:00Z,2025-01-05T08:09:00Z,1,7,4,access,The information could be clearer.
R000064,C000643,onboarding,2025-01-05T07:33:00Z,2025-01-05T10:33:00Z,1,10,5,information,I needed more than one contact.
R000065,C000813,service,2025-01-05T09:04:00Z,2025-01-05T10:52:00Z,1,9,4,experience,Everything worked as expected.
R000066,C001902,support,2025-01-05T10:35:00Z,2025-01-05T10:46:00Z,1,5,4,communication,The waiting time affected the experience.
R000067,C000657,onboarding,2025-01-05T12:06:00Z,2025-01-05T14:49:00Z,1,7,3,access,The response was quick.
R000068,C000635,support,2025-01-05T13:37:00Z,2025-01-19T13:46:00Z,2,6,3,resolution,The response was quick.
R000069,C000145,renewal,2025-01-05T15:08:00Z,2025-01-05T17:55:00Z,1,8,3,value,The waiting time affected the experience.
R000070,C002252,service,2025-01-05T16:39:00Z,2025-01-05T18:33:00Z,1,5,3,schedule,Everything worked as expected.
R000071,C000351,onboarding,2025-01-05T18:10:00Z,2025-01-05T18:16:00Z,1,5,4,access,The response was quick.
R000072,C001089,renewal,2025-01-05T19:41:00Z,2025-01-05T22:04:00Z,1,7,4,value,The waiting time affected the experience.
R000073,C000045,renewal,2025-01-05T21:12:00Z,2025-01-05T22:02:00Z,1,8,3,value,The information could be clearer.
R000074,C001345,service,2025-01-05T22:43:00Z,2025-01-05T23:34:00Z,1,7,3,schedule,Everything worked as expected.
R000075,C000766,support,2025-01-06T00:14:00Z,2025-01-06T01:37:00Z,1,3,4,communication,The information could be clearer.
R000076,C000585,renewal,2025-01-06T01:45:00Z,2025-01-06T04:04:00Z,1,7,3,relationship,The response was quick.
R000077,C000139,support,2025-01-06T03:16:00Z,2025-01-06T05:00:00Z,1,4,5,resolution,Everything worked as expected.
R000078,C002319,onboarding,2025-01-06T04:47:00Z,2025-01-06T05:09:00Z,1,10,3,access,The waiting time affected the experience.
R000079,C001569,support,2025-01-06T06:18:00Z,2025-01-06T06:26:00Z,1,6,3,resolution,The waiting time affected the experience.
R000080,C000870,renewal,2025-01-06T07:49:00Z,2025-01-06T08:22:00Z,1,7,4,value,The information could be clearer.
R000081,C001736,service,2025-01-06T09:20:00Z,2025-01-06T10:11:00Z,1,7,3,schedule,Everything worked as expected.
R000082,C002279,onboarding,2025-01-06T10:51:00Z,2025-01-06T13:01:00Z,1,8,5,information,The information could be clearer.
R000083,C000690,onboarding,2025-01-06T12:22:00Z,2025-01-06T14:25:00Z,1,6,4,information,Everything worked as expected.
R000084,C002124,service,2025-01-06T13:53:00Z,2025-01-06T14:35:00Z,1,9,4,experience,The response was quick.
R000085,C001443,support,2025-01-06T15:24:00Z,2025-01-20T15:50:00Z,2,7,2,resolution,Everything worked as expected.
R000086,C001301,onboarding,2025-01-06T16:55:00Z,2025-01-06T19:49:00Z,1,9,5,access,The information could be clearer.
R000087,C000399,onboarding,2025-01-06T18:26:00Z,2025-01-06T20:41:00Z,1,9,4,access,The information could be clearer.
